"Label (Grouping)","Civilian employed population 16 years and over","Civilian employed population 16 years and over!!Management, business, science, and arts occupations","Civilian employed population 16 years and over!!Service occupations","Civilian employed population 16 years and over!!Sales and office occupations","Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Civilian employed population 16 years and over!!Production, transportation, and material moving occupations"
"Albany County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","162,645","78,959","26,485","36,315","7,728","13,158"
"        Margin of Error","±1,977","±1,725","±1,331","±1,675","±730","±979"
"    Employee of private company workers","","","","","",""
"        Estimate","54.0%","42.0%","60.5%","63.7%","67.9%","78.3%"
"        Margin of Error","±1.0","±1.4","±2.9","±2.4","±4.0","±3.0"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","2.8%","2.9%","1.7%","2.8%","6.4%","3.0%"
"        Margin of Error","±0.4","±0.4","±0.8","±0.8","±2.4","±1.3"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","13.4%","18.1%","14.0%","8.5%","3.3%","3.7%"
"        Margin of Error","±0.8","±1.3","±2.0","±1.5","±1.7","±1.3"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","25.0%","32.0%","18.7%","22.7%","10.7%","10.3%"
"        Margin of Error","±0.9","±1.4","±2.0","±1.9","±2.8","±2.5"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","4.7%","5.0%","5.1%","2.3%","11.6%","4.7%"
"        Margin of Error","±0.5","±0.7","±1.1","±0.7","±2.4","±1.8"
"Allegany County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","19,135","6,687","3,658","3,612","1,987","3,191"
"        Margin of Error","±452","±344","±291","±287","±176","±248"
"    Employee of private company workers","","","","","",""
"        Estimate","56.2%","34.7%","56.9%","71.3%","60.2%","80.7%"
"        Margin of Error","±1.9","±2.7","±4.0","±3.3","±4.4","±3.2"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","2.5%","3.0%","0.6%","2.7%","2.3%","3.4%"
"        Margin of Error","±0.8","±1.3","±0.4","±1.2","±1.3","±2.8"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","13.0%","21.9%","14.1%","9.1%","2.8%","4.2%"
"        Margin of Error","±1.3","±2.2","±2.5","±2.2","±2.2","±1.6"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","21.4%","33.8%","20.6%","13.5%","16.5%","8.2%"
"        Margin of Error","±1.6","±2.9","±3.6","±2.5","±3.4","±1.9"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","6.9%","6.7%","7.8%","3.3%","18.3%","3.6%"
"        Margin of Error","±0.7","±1.3","±1.9","±1.3","±3.3","±1.2"
"Bronx County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","597,690","160,973","202,101","124,074","37,305","73,237"
"        Margin of Error","±5,449","±3,527","±4,184","±3,030","±1,939","±2,703"
"    Employee of private company workers","","","","","",""
"        Estimate","66.8%","47.2%","73.2%","73.4%","80.2%","74.0%"
"        Margin of Error","±0.6","±1.2","±1.0","±1.3","±1.8","±1.6"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","1.8%","2.1%","1.2%","1.5%","3.1%","2.1%"
"        Margin of Error","±0.1","±0.3","±0.2","±0.3","±0.7","±0.4"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","11.3%","21.6%","8.1%","9.7%","4.3%","3.5%"
"        Margin of Error","±0.5","±1.1","±0.7","±0.8","±1.1","±0.7"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","15.0%","25.9%","11.7%","12.6%","6.6%","8.7%"
"        Margin of Error","±0.4","±0.9","±0.7","±0.9","±1.1","±1.0"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","5.2%","3.1%","5.8%","2.7%","5.8%","11.7%"
"        Margin of Error","±0.3","±0.4","±0.6","±0.4","±1.0","±1.2"
"Broome County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","86,259","34,704","17,257","18,149","5,464","10,685"
"        Margin of Error","±1,448","±1,442","±1,014","±869","±658","±776"
"    Employee of private company workers","","","","","",""
"        Estimate","59.5%","44.9%","55.2%","75.2%","64.0%","85.4%"
"        Margin of Error","±1.4","±1.9","±3.0","±2.1","±6.0","±2.5"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","2.3%","2.7%","0.8%","2.1%","7.1%","1.1%"
"        Margin of Error","±0.3","±0.5","±0.4","±0.7","±3.6","±0.6"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","12.0%","18.1%","12.6%","7.5%","3.9%","3.2%"
"        Margin of Error","±0.8","±1.3","±2.1","±1.4","±1.8","±1.3"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","21.7%","30.7%","25.5%","12.8%","11.4%","6.8%"
"        Margin of Error","±1.1","±1.8","±2.7","±1.5","±2.8","±1.9"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","4.5%","3.7%","5.9%","2.4%","13.5%","3.4%"
"        Margin of Error","±0.6","±0.7","±1.3","±0.9","±5.1","±1.3"
"Cattaraugus County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","33,046","10,516","6,570","6,551","3,657","5,752"
"        Margin of Error","±709","±531","±454","±381","±272","±385"
"    Employee of private company workers","","","","","",""
"        Estimate","59.7%","40.8%","57.2%","68.3%","63.8%","84.5%"
"        Margin of Error","±1.5","±2.5","±3.1","±3.0","±4.7","±2.5"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","2.3%","3.1%","0.9%","3.0%","2.5%","1.3%"
"        Margin of Error","±0.4","±0.8","±0.6","±0.9","±0.9","±0.5"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","9.7%","17.9%","10.0%","7.0%","3.2%","1.6%"
"        Margin of Error","±0.9","±1.9","±1.9","±1.7","±2.5","±0.6"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","21.5%","31.4%","26.2%","17.2%","13.5%","8.0%"
"        Margin of Error","±1.2","±2.1","±2.9","±2.5","±2.7","±1.9"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","6.8%","6.8%","5.6%","4.5%","17.1%","4.6%"
"        Margin of Error","±0.9","±1.4","±1.4","±1.1","±4.0","±1.3"
"Cayuga County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","34,816","12,374","6,730","6,743","3,627","5,342"
"        Margin of Error","±826","±646","±504","±438","±313","±399"
"    Employee of private company workers","","","","","",""
"        Estimate","61.2%","44.2%","55.6%","72.3%","72.5%","85.9%"
"        Margin of Error","±1.5","±2.6","±3.8","±3.0","±4.1","±3.3"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","2.9%","3.6%","1.1%","3.0%","3.6%","2.9%"
"        Margin of Error","±0.5","±0.8","±0.5","±1.1","±1.6","±1.5"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","10.6%","16.9%","10.3%","9.0%","3.9%","3.1%"
"        Margin of Error","±1.0","±2.2","±2.4","±1.8","±2.7","±1.3"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","19.3%","28.0%","26.3%","12.7%","8.9%","5.7%"
"        Margin of Error","±1.2","±2.7","±3.5","±2.5","±2.5","±2.3"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","6.0%","7.3%","6.7%","3.1%","11.2%","2.4%"
"        Margin of Error","±0.6","±1.1","±1.6","±1.2","±2.9","±0.9"
"Chautauqua County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","55,110","18,186","10,990","10,665","5,356","9,913"
"        Margin of Error","±1,155","±912","±687","±655","±457","±702"
"    Employee of private company workers","","","","","",""
"        Estimate","60.7%","42.3%","57.1%","71.5%","64.2%","85.1%"
"        Margin of Error","±1.3","±2.1","±3.1","±3.1","±4.8","±3.0"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","2.7%","2.8%","0.7%","2.6%","7.0%","2.6%"
"        Margin of Error","±0.5","±0.7","±0.4","±0.8","±3.2","±1.7"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","11.4%","19.2%","13.0%","7.5%","4.6%","3.4%"
"        Margin of Error","±0.9","±1.8","±2.6","±1.4","±2.1","±1.0"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","19.0%","29.3%","22.7%","15.0%","10.4%","5.1%"
"        Margin of Error","±1.1","±2.2","±2.6","±2.5","±2.3","±1.5"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","6.1%","6.4%","6.5%","3.4%","13.9%","3.7%"
"        Margin of Error","±0.7","±1.4","±1.5","±0.9","±3.1","±1.8"
"Chemung County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","37,048","12,851","6,968","8,484","2,800","5,945"
"        Margin of Error","±943","±814","±607","±577","±358","±543"
"    Employee of private company workers","","","","","",""
"        Estimate","60.6%","43.1%","56.8%","71.9%","70.0%","82.4%"
"        Margin of Error","±1.9","±3.2","±4.3","±3.8","±6.1","±3.8"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","2.0%","1.7%","1.2%","3.4%","4.0%","0.8%"
"        Margin of Error","±0.6","±0.9","±0.7","±1.8","±2.8","±0.5"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","14.0%","28.1%","10.5%","7.9%","1.1%","2.3%"
"        Margin of Error","±1.4","±3.1","±2.5","±2.3","±1.4","±1.2"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","18.0%","22.8%","24.2%","14.0%","14.8%","7.2%"
"        Margin of Error","±1.5","±2.7","±3.4","±3.3","±5.0","±2.1"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","5.4%","4.3%","7.2%","2.8%","10.2%","7.2%"
"        Margin of Error","±0.8","±1.2","±2.2","±1.2","±3.7","±3.4"
"Chenango County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","21,375","6,898","3,532","4,045","2,388","4,512"
"        Margin of Error","±599","±440","±332","±386","±262","±361"
"    Employee of private company workers","","","","","",""
"        Estimate","60.5%","45.1%","42.2%","69.3%","70.4%","85.3%"
"        Margin of Error","±2.1","±3.6","±4.2","±4.2","±4.9","±3.2"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","3.2%","4.1%","1.2%","4.1%","2.9%","2.6%"
"        Margin of Error","±0.6","±1.2","±0.6","±1.6","±1.9","±1.2"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","11.1%","16.2%","21.4%","9.3%","1.8%","1.8%"
"        Margin of Error","±1.3","±2.4","±4.3","±3.6","±1.2","±1.1"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","18.1%","28.3%","25.6%","11.6%","11.8%","5.6%"
"        Margin of Error","±1.7","±3.2","±4.3","±2.6","±4.0","±2.2"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","7.1%","6.2%","9.7%","5.8%","13.0%","4.7%"
"        Margin of Error","±1.0","±1.6","±3.3","±2.5","±3.6","±2.0"
"Clinton County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","36,043","12,362","7,572","7,483","3,011","5,615"
"        Margin of Error","±906","±857","±622","±729","±424","±648"
"    Employee of private company workers","","","","","",""
"        Estimate","60.9%","46.5%","47.4%","75.3%","74.2%","84.5%"
"        Margin of Error","±2.4","±3.7","±6.0","±3.6","±5.7","±3.3"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","3.1%","2.7%","4.3%","2.7%","3.4%","2.6%"
"        Margin of Error","±1.0","±1.4","±3.8","±1.4","±2.6","±1.8"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","9.5%","16.5%","8.6%","6.5%","2.0%","3.1%"
"        Margin of Error","±1.1","±2.7","±2.4","±1.8","±1.6","±1.5"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","22.0%","29.6%","33.0%","13.7%","12.9%","6.3%"
"        Margin of Error","±1.8","±2.7","±5.3","±2.9","±4.4","±2.4"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","4.6%","4.7%","6.8%","1.8%","7.4%","3.4%"
"        Margin of Error","±0.7","±1.2","±1.9","±0.8","±3.2","±1.7"
"Columbia County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","29,332","12,329","5,131","5,669","2,713","3,490"
"        Margin of Error","±681","±698","±515","±533","±329","±379"
"    Employee of private company workers","","","","","",""
"        Estimate","54.4%","39.9%","53.5%","66.8%","65.5%","78.5%"
"        Margin of Error","±2.0","±2.7","±5.4","±4.4","±6.1","±5.1"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","6.2%","6.9%","6.0%","3.8%","12.4%","3.0%"
"        Margin of Error","±1.1","±1.3","±3.7","±1.5","±4.1","±2.1"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","13.6%","21.1%","11.5%","9.4%","3.3%","5.2%"
"        Margin of Error","±1.6","±2.4","±3.0","±2.8","±2.0","±3.0"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","17.6%","22.8%","20.9%","14.5%","7.9%","6.7%"
"        Margin of Error","±1.6","±2.6","±4.0","±3.4","±3.0","±3.6"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","8.2%","9.4%","8.0%","5.5%","10.9%","6.7%"
"        Margin of Error","±0.9","±1.3","±2.1","±2.2","±4.1","±2.6"
"Cortland County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","23,376","8,718","5,185","4,128","2,330","3,015"
"        Margin of Error","±625","±498","±495","±368","±302","±432"
"    Employee of private company workers","","","","","",""
"        Estimate","60.2%","46.5%","60.2%","72.2%","57.7%","84.8%"
"        Margin of Error","±2.2","±3.8","±4.6","±4.2","±6.7","±4.0"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","2.9%","2.4%","0.9%","2.6%","11.1%","2.2%"
"        Margin of Error","±0.7","±1.0","±0.5","±1.6","±4.8","±1.4"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","11.0%","18.7%","9.1%","8.1%","4.1%","1.4%"
"        Margin of Error","±1.3","±2.8","±2.7","±2.7","±2.3","±1.0"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","20.4%","28.0%","23.3%","13.1%","15.7%","6.7%"
"        Margin of Error","±1.4","±3.3","±3.3","±2.9","±4.8","±3.3"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","5.5%","4.4%","6.4%","3.9%","11.4%","5.0%"
"        Margin of Error","±1.0","±1.8","±2.5","±1.5","±4.1","±2.0"
"Delaware County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","19,522","6,323","3,833","3,792","2,271","3,303"
"        Margin of Error","±552","±403","±379","±352","±234","±294"
"    Employee of private company workers","","","","","",""
"        Estimate","52.6%","33.6%","47.8%","60.3%","62.9%","78.8%"
"        Margin of Error","±2.3","±3.6","±4.6","±5.0","±6.6","±5.5"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","3.5%","4.9%","2.2%","4.3%","1.4%","2.8%"
"        Margin of Error","±0.7","±1.7","±0.9","±1.7","±0.9","±1.9"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","11.6%","19.2%","12.4%","9.5%","2.0%","5.5%"
"        Margin of Error","±1.7","±2.8","±3.8","±2.9","±1.6","±3.2"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","20.6%","28.1%","21.7%","19.8%","18.6%","7.3%"
"        Margin of Error","±1.8","±3.3","±4.3","±3.8","±5.8","±3.1"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","11.6%","14.2%","16.0%","6.1%","15.1%","5.6%"
"        Margin of Error","±1.4","±2.6","±4.5","±2.5","±4.2","±3.0"
"Dutchess County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","147,468","63,401","27,301","31,034","12,923","12,809"
"        Margin of Error","±1,967","±1,833","±1,625","±1,214","±890","±786"
"    Employee of private company workers","","","","","",""
"        Estimate","61.4%","52.5%","62.3%","72.2%","66.2%","72.7%"
"        Margin of Error","±1.1","±1.5","±2.4","±2.3","±3.2","±2.7"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","4.0%","4.8%","2.3%","3.5%","5.6%","3.8%"
"        Margin of Error","±0.4","±0.6","±0.8","±0.7","±1.6","±1.1"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","12.7%","19.3%","11.1%","7.6%","4.1%","4.1%"
"        Margin of Error","±0.8","±1.3","±1.6","±1.2","±1.5","±1.3"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","16.4%","18.6%","18.4%","12.4%","13.5%","14.0%"
"        Margin of Error","±0.7","±1.1","±1.9","±1.5","±2.6","±2.4"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","5.5%","4.9%","5.9%","4.3%","10.5%","5.4%"
"        Margin of Error","±0.4","±0.5","±1.1","±0.9","±2.1","±2.0"
"Erie County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","465,474","194,797","81,022","107,137","29,175","53,343"
"        Margin of Error","±3,138","±2,776","±1,711","±2,537","±1,411","±1,958"
"    Employee of private company workers","","","","","",""
"        Estimate","65.1%","52.4%","63.4%","77.3%","73.1%","84.9%"
"        Margin of Error","±0.6","±0.9","±1.4","±1.0","±2.3","±1.4"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","2.9%","3.8%","1.8%","2.5%","4.6%","1.5%"
"        Margin of Error","±0.2","±0.3","±0.4","±0.6","±1.2","±0.3"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","11.4%","17.7%","10.8%","6.9%","1.7%","3.3%"
"        Margin of Error","±0.4","±0.7","±1.0","±0.6","±0.5","±0.6"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","16.4%","22.0%","18.6%","10.7%","11.1%","7.0%"
"        Margin of Error","±0.5","±0.8","±1.2","±0.7","±1.6","±0.9"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","4.2%","4.2%","5.4%","2.5%","9.5%","3.2%"
"        Margin of Error","±0.2","±0.4","±0.6","±0.3","±1.3","±0.9"
"Essex County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","17,148","6,539","3,505","3,245","1,990","1,869"
"        Margin of Error","±644","±518","±388","±288","±283","±302"
"    Employee of private company workers","","","","","",""
"        Estimate","50.0%","29.0%","57.9%","64.1%","55.5%","78.4%"
"        Margin of Error","±2.5","±3.7","±5.4","±6.1","±7.3","±5.6"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","4.7%","7.5%","0.9%","5.5%","3.2%","2.3%"
"        Margin of Error","±1.4","±3.2","±0.9","±2.3","±1.9","±2.0"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","17.3%","30.0%","18.0%","9.1%","2.2%","1.8%"
"        Margin of Error","±2.0","±3.3","±4.0","±3.5","±1.4","±1.2"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","19.9%","25.1%","15.1%","17.1%","21.7%","13.6%"
"        Margin of Error","±2.1","±3.6","±3.0","±5.5","±5.5","±4.9"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","8.1%","8.3%","8.1%","4.3%","17.5%","4.0%"
"        Margin of Error","±1.2","±2.2","±2.7","±2.1","±5.6","±2.3"
"Franklin County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","18,773","6,206","4,463","4,078","1,801","2,225"
"        Margin of Error","±570","±509","±494","±427","±223","±222"
"    Employee of private company workers","","","","","",""
"        Estimate","45.0%","25.9%","41.2%","58.2%","58.1%","71.3%"
"        Margin of Error","±2.3","±3.5","±4.8","±5.1","±7.3","±5.8"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","2.7%","3.4%","0.6%","4.5%","2.4%","1.8%"
"        Margin of Error","±0.8","±1.7","±0.5","±2.4","±2.1","±1.0"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","13.7%","21.6%","9.8%","14.4%","2.4%","7.0%"
"        Margin of Error","±1.6","±3.0","±2.9","±4.3","±1.4","±3.7"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","29.6%","39.3%","41.6%","16.2%","17.5%","12.6%"
"        Margin of Error","±2.4","±3.5","±4.7","±4.0","±5.9","±4.5"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","9.0%","9.7%","6.7%","6.7%","19.5%","7.4%"
"        Margin of Error","±1.6","±2.6","±2.1","±3.1","±6.1","±3.1"
"Fulton County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","24,467","7,374","4,773","5,143","2,601","4,576"
"        Margin of Error","±632","±560","±497","±480","±371","±458"
"    Employee of private company workers","","","","","",""
"        Estimate","61.5%","43.3%","47.8%","70.8%","73.6%","88.0%"
"        Margin of Error","±2.6","±4.4","±5.4","±4.8","±6.1","±3.0"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","2.3%","3.0%","1.9%","2.2%","2.7%","1.2%"
"        Margin of Error","±0.6","±1.3","±1.7","±1.4","±2.4","±1.0"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","12.6%","22.3%","22.1%","6.0%","0.5%","1.4%"
"        Margin of Error","±2.0","±4.3","±4.8","±2.0","±0.7","±0.9"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","17.7%","26.6%","21.2%","16.9%","5.9%","7.3%"
"        Margin of Error","±2.0","±3.6","±5.3","±4.2","±2.8","±2.5"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","5.9%","4.8%","7.0%","4.1%","17.4%","2.0%"
"        Margin of Error","±1.2","±1.6","±2.7","±3.4","±5.4","±1.2"
"Genesee County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","29,092","9,509","4,979","6,210","3,874","4,520"
"        Margin of Error","±721","±460","±429","±566","±484","±430"
"    Employee of private company workers","","","","","",""
"        Estimate","65.4%","49.1%","55.3%","74.4%","77.8%","87.5%"
"        Margin of Error","±1.7","±2.8","±4.8","±3.7","±4.1","±3.4"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","2.7%","3.7%","1.4%","2.9%","3.0%","1.4%"
"        Margin of Error","±0.7","±1.2","±1.6","±1.4","±2.0","±1.0"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","9.0%","17.3%","7.5%","6.3%","2.5%","2.5%"
"        Margin of Error","±1.1","±2.5","±2.2","±1.9","±1.3","±1.5"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","17.6%","24.3%","26.3%","14.3%","9.0%","6.1%"
"        Margin of Error","±1.6","±2.8","±4.6","±3.5","±3.0","±2.6"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","5.3%","5.6%","9.5%","2.1%","7.8%","2.6%"
"        Margin of Error","±0.9","±1.5","±3.1","±1.4","±2.7","±1.3"
"Greene County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","21,812","8,460","3,929","4,598","1,904","2,921"
"        Margin of Error","±717","±721","±406","±553","±338","±353"
"    Employee of private company workers","","","","","",""
"        Estimate","60.0%","44.8%","54.3%","74.7%","72.2%","81.0%"
"        Margin of Error","±2.5","±3.6","±5.9","±4.6","±7.1","±6.4"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","3.5%","6.4%","2.1%","1.5%","2.2%","1.3%"
"        Margin of Error","±1.0","±2.4","±1.2","±1.0","±1.8","±1.1"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","9.7%","16.1%","5.0%","7.5%","1.4%","6.5%"
"        Margin of Error","±1.3","±2.6","±2.1","±2.9","±1.2","±4.0"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","18.7%","23.2%","26.8%","11.7%","15.9%","7.5%"
"        Margin of Error","±1.9","±3.0","±5.0","±4.0","±6.7","±3.5"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","8.1%","9.6%","11.8%","4.7%","8.4%","3.7%"
"        Margin of Error","±1.3","±2.1","±4.3","±2.1","±3.3","±2.3"
"Hamilton County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","2,147","781","475","401","362","128"
"        Margin of Error","±230","±204","±100","±95","±97","±39"
"    Employee of private company workers","","","","","",""
"        Estimate","37.4%","12.2%","43.8%","43.4%","70.2%","57.0%"
"        Margin of Error","±7.3","±4.4","±15.3","±10.5","±14.6","±15.3"
"    Self-employed in own incorporated business workers","","","","","",""
