School,G,SRS,SOS,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Abilene Christian,30,-2.79,0.9,75,71.1,27.1,60,0.451,7.03,20.4,0.344,13.8,19.1,0.723,10.2,32.4,15.7,8.8,2.37,12.6,20.6
Air Force,32,2,2.12,66.9,67.1,23.6,51.1,0.462,8.16,22.9,0.356,11.5,16,0.722,6.66,29.6,15.3,5.75,3.97,12.2,17
Akron,33,4.19,-1.65,74.6,66.9,25.6,57.5,0.445,9.09,25.6,0.355,14.4,19.5,0.739,10.2,35.7,13.4,6.03,2.64,11.2,16
Alabama NCAA,37,23.19,9.65,81.8,68.3,27.6,62.5,0.442,9.89,29.5,0.335,16.6,22.9,0.725,13.1,44.6,15,6.05,5.11,13.8,18.7
Alabama A&M,33,-10.78,-7.71,69.6,70.9,24.9,56.6,0.441,6.85,18.5,0.37,12.9,19.7,0.655,10.1,32.7,12.7,8,4.03,15.1,18.9
Alabama State,31,-16.33,-6.29,63.3,72.6,22,58.7,0.375,5.97,19.5,0.306,13.3,18.8,0.705,12.5,36,9.97,5.87,3.55,13.4,18
Albany (NY),31,-14.36,-4.53,67.3,75.2,23.4,56.6,0.414,7.65,23.4,0.327,12.8,17.7,0.722,10.2,33.3,11.7,5.74,1.65,13.4,18.6
Alcorn State,32,-8.74,-5.81,67.7,70.6,23.8,58.4,0.408,5.13,17.3,0.296,14.8,20.6,0.721,12,34,9.88,8.03,2.5,12.6,18.9
American,32,-8.26,-7.73,65.4,65.9,24.5,50.9,0.482,6.38,18.4,0.346,9.97,14.2,0.701,8.09,30.3,13.6,7.44,3.94,14,15.1
Appalachian State,32,-1.5,-0.98,70.3,64.6,25.6,57.9,0.442,7.59,22.7,0.335,11.5,17,0.676,9,35.7,13,6.38,4.56,11,13.8
Arizona NCAA,35,19.08,8.34,81.9,71.1,29.2,59.2,0.494,8.43,22.3,0.378,15,21.2,0.708,10.2,39.3,18.9,6.09,3.14,13.4,16.9
Arizona State NCAA,36,11.29,8.18,71.1,68,25.3,60.1,0.421,7.61,23.6,0.322,12.9,18.8,0.689,11,36.5,14.3,7.08,4.72,11.7,18.6
Arkansas NCAA,36,15.99,9.87,74.1,67.9,26.7,57.3,0.466,4.97,15.9,0.313,15.7,22.5,0.698,10.4,35.3,12.8,8.39,5.06,12.7,19.3
Arkansas State,33,-8.07,-3.3,65.7,67.6,23.5,54.5,0.432,6.33,18,0.352,12.3,18.2,0.677,9.85,33.6,13.1,6.67,3.27,11.7,16.8
Arkansas-Pine Bluff,31,-12.99,-5.36,66.9,69.7,22.6,57.8,0.391,7.9,25,0.316,13.8,18.9,0.727,10.1,34.5,12.8,8.06,2.77,15.3,19.7
Army,33,-7.13,-7.58,73.1,70.4,26.8,56.2,0.478,7.64,21.8,0.351,11.8,17.3,0.684,8.48,34.3,13.1,5.09,2.12,12.9,16.1
Auburn NCAA,34,14.35,9.29,72.8,67.7,25.7,58.6,0.439,6.5,20.6,0.315,14.8,21.3,0.696,11.6,36.2,14.1,7.74,5.06,12.2,19.3
Austin Peay,31,-12.17,-2.6,66.7,72.3,24,57.7,0.415,7.16,22.3,0.322,11.6,16,0.725,10.1,31.4,12.5,7.1,3.03,11.7,16.9
Ball State,32,-1.2,-3.5,76.4,71.6,26.3,55.8,0.471,7.5,20.3,0.369,16.3,23.7,0.689,10.5,35.8,13.2,5.5,3.84,12.2,16.4
Baylor NCAA,34,17.3,10.54,77,70.3,25.9,57.6,0.45,9.5,25.8,0.368,15.8,21.2,0.744,11.5,34,14.2,6.56,2.41,12.1,17.4
Bellarmine,33,-7.42,-1.35,66.3,67.2,24.2,52.7,0.459,8,22.8,0.351,9.97,13.2,0.755,6.58,29.1,14.2,5.58,1.36,11.2,15.8
Belmont,32,1.88,-1.93,76.5,71.8,28.1,59.4,0.472,9.59,24.7,0.388,10.8,14.8,0.726,8.34,33,15.3,7.03,3.16,11.4,15.6
Bethune-Cookman,32,-17.15,-7.82,67.9,75,24.1,58.2,0.414,6.84,18.9,0.361,12.8,18.3,0.698,10,32.4,11.3,7.22,2.81,12.9,17.3
Binghamton,31,-10.44,-5.51,68.8,71.5,25.6,56.9,0.45,5.55,17.2,0.323,12,16.9,0.713,9.71,35,11.6,4.65,3.16,13,18
Boise State NCAA,34,12.78,6.21,72.1,64.6,25.8,57,0.453,7.79,21.6,0.362,12.6,17.3,0.733,9.03,35.7,11.3,5.03,2.85,11.1,16.3
Boston College,33,1.09,4.73,66.6,70.2,24.8,56.8,0.437,5.7,17.9,0.319,11.2,15.5,0.725,9.33,33.1,12.5,6.36,3.58,12.3,15.8
Boston University,32,-8.1,-6.52,67.1,67.2,23.8,57.7,0.412,7.44,22.6,0.33,12.1,16.4,0.739,10.3,35.5,10.5,6.41,2.47,12,17.5
Bowling Green State,31,-8.46,-3.81,76,78.5,27.1,60,0.452,7.23,21.2,0.34,14.5,20.1,0.725,10.5,35.8,13.8,6.06,3,12.2,17.7
Bradley,35,6.51,-0.67,70.7,62.7,26.2,56.8,0.461,7.89,22.2,0.355,10.4,15.6,0.665,9.74,35.4,13.3,6.8,3.89,11.7,16.1
Brigham Young,34,9.43,5.4,75.5,69.9,26.9,59.1,0.455,8.12,23.9,0.34,13.7,19.1,0.717,11,37.4,14.7,7.38,3.97,14.1,19.4
Brown,27,-2.47,-2.69,69.6,69.3,25.3,57.7,0.438,8,23,0.347,11,17.2,0.642,8.93,34.9,13.8,7.19,3.22,13.4,16.2
Bryant,30,-3.59,-4.52,79.4,73.1,28.3,60.7,0.466,8.1,23.8,0.34,14.7,20.1,0.734,10.6,39.3,13.4,6.67,3.53,13.4,17.3
Bucknell,32,-9.93,-6.96,67.5,68.5,24.9,54.7,0.456,7.34,20.6,0.356,10.4,14.5,0.717,8.13,33.9,13.4,5.5,3.78,13.3,15.6
Buffalo,32,-2.97,0.67,77.5,77.7,28.3,62.5,0.453,7,21.8,0.322,13.9,19.8,0.704,11.8,37.8,14.7,7.94,3.19,14.1,18.8
Butler,32,5.85,8.54,65.3,67.9,24.1,55.2,0.436,6.47,19.8,0.327,10.6,14.3,0.739,6.47,29.9,12.6,6.75,4.31,11.8,13.4
Cal Poly,33,-7.51,-0.54,60.8,65.9,21.7,52.5,0.413,5.48,18.6,0.294,12,16.1,0.744,8.52,32.7,10.3,5.48,2.48,13.8,19.8
Cal State Bakersfield,33,-8.34,-1.47,60.5,64.7,22.2,53.6,0.414,4.3,13.2,0.325,11.8,15.5,0.76,9.42,32,10.8,6.21,3.03,12.8,18.8
Cal State Fullerton,33,1.73,-0.27,69.2,65.1,23.6,54.9,0.43,7.67,20.8,0.369,14.3,20.6,0.693,9.18,33.6,10.3,6.48,2.58,11.8,17.9
Cal State Northridge,32,-10.4,-1.74,63.4,68.6,21.7,54.2,0.401,5.75,18,0.32,14.2,19.1,0.742,9.78,33.3,9.81,6.28,3.09,12.5,18.9
California,32,-3.36,8.43,58.3,70.1,20.7,52.9,0.391,4.88,16.4,0.298,12.1,16.7,0.723,8.69,31.5,9.63,4.72,3.13,13,17.1
California Baptist,33,0.21,-0.69,69.4,65.3,24.6,57.5,0.427,8.36,25.4,0.33,11.9,17.9,0.664,11,37.2,14.3,4.42,3.12,11.5,17.2
Campbell,34,-5.23,-4.89,69.8,68.5,24.4,52.3,0.467,6.71,20.1,0.334,14.3,20.3,0.703,7.85,31.4,12.2,6.24,2.85,11.9,16.3
Canisius,30,-7.05,-3.46,70.4,72.3,25.4,60.3,0.422,8.5,24.5,0.347,10.9,14.9,0.732,10.4,33.6,14.4,5.6,2.63,11.9,15.6
Central Arkansas,31,-13.72,-3.15,72.9,81.5,26.4,64.1,0.412,8.52,26.4,0.323,11.6,15.5,0.749,11.2,36.4,12.4,6.52,3.16,13.3,16.4
Central Connecticut State,32,-13.68,-9.49,66,70.2,24.7,58.6,0.422,6.84,20.9,0.327,9.69,13.7,0.709,10.1,34.1,12.9,5.59,3.81,11.9,14.1
Central Michigan,31,-11.97,-2.62,65.7,73,22.6,54.5,0.416,6.16,20.5,0.3,14.3,20.7,0.69,11.1,35.4,10.7,5.84,3.81,15.9,19.8
Charleston Southern,31,-9.44,-4.47,72.6,74.4,26.4,59.7,0.443,8.1,23.6,0.343,11.7,16.1,0.727,11.6,35.2,12,5.06,2.61,11.8,18.1
Charlotte,36,3.9,-0.46,66.9,62.6,24.6,52,0.473,8.08,21.4,0.377,9.69,12.9,0.751,6.42,29.6,13,5.53,2.5,10.6,13.6
Chattanooga,35,-2.34,-3.34,77.2,72.1,26.4,58.3,0.452,11.4,30.2,0.377,13,18.3,0.714,9.57,36.2,15.3,5.71,3.46,11.6,15.8
Chicago State,31,-11.29,-3.51,70.3,73,24.5,56.7,0.433,8.26,24.4,0.339,13,17.9,0.728,11.8,35.2,12.2,5.65,2.68,13.6,18.1
Cincinnati,36,11.77,4.97,77.1,69.3,28.4,63.4,0.448,8.72,24.8,0.351,11.6,16.4,0.706,11.2,37.3,15.5,6.28,3.94,10.7,15.8
Clemson,34,10.53,3.71,74.7,67.9,26.4,56.6,0.467,8.29,22.8,0.364,13.5,17.2,0.785,7.41,35.2,14.3,5.15,3.15,11.1,17.3
Cleveland State,35,-2.6,-5.05,71.8,68.7,27.4,60.3,0.454,5.09,16.6,0.307,11.9,17.5,0.681,12.5,35.5,13.3,6.91,3.4,11.6,16.6
Coastal Carolina,31,-8.93,-1.75,73.3,74,26.3,60.6,0.434,7.19,22.7,0.316,13.5,17.2,0.784,11.3,37.2,12.4,6.06,3.19,12.2,16
Colgate NCAA,35,2.2,-5.86,78.1,69.3,29.8,58.2,0.511,8.17,20.3,0.403,10.4,15.7,0.661,7.97,33.7,18.2,7.09,2.86,10.2,12.5
College of Charleston NCAA,35,8.4,-4.02,80.1,67.2,27.4,62.9,0.436,9.94,30,0.331,15.4,20.7,0.744,13.5,40.3,13.7,7.4,3.11,11.9,16.9
Colorado,35,11.17,8.39,69.9,67.1,25.5,58.8,0.434,6.54,20.3,0.322,12.2,17.6,0.695,11.1,37.1,13,7.46,3.66,13.2,16.2
Colorado State,33,5.64,5.86,72.5,71.4,26.5,54.2,0.488,7.61,20.9,0.364,11.9,16,0.745,5.97,30.7,16.5,5.67,2.45,11.2,16.3
Columbia,29,-14.37,-2.37,67.8,75.8,24,59.6,0.403,7.79,24.6,0.317,12,16.8,0.715,10.2,34.4,11.7,6.76,2,13.8,16.7
Connecticut NCAA,39,22.95,8.51,78.6,64.1,27.7,59.8,0.464,9.05,24.9,0.363,14,18.4,0.761,13,39.3,17.5,6.28,4.87,12.9,17.7
Coppin State,32,-14.76,-3.6,72,83.2,24.3,55.9,0.435,8.38,24.8,0.338,14.9,20.8,0.719,6.44,30.4,11.3,7.69,2.53,14.9,19.7
Cornell,28,0.63,-2.41,81.7,76,29.1,62.1,0.47,10.7,30.4,0.353,12.7,17.5,0.724,10.4,34.4,17.5,9.71,2.25,12.4,16.6
Creighton NCAA,37,17.83,9.8,76.4,68.4,27.4,58.5,0.469,8.62,24.4,0.354,13,16.6,0.783,8.27,37,15.7,5,4.11,11.6,13.1
Dartmouth,28,-7.98,-2.52,71.4,72.4,25.7,58.1,0.442,8.14,24.5,0.333,11.9,17,0.699,8.43,34.9,12.9,5.46,4.04,14.4,17
Davidson,32,1.99,1.47,69.9,68.7,24.5,55.4,0.443,6.75,20.8,0.325,14.1,18.8,0.748,8.28,32.9,13.1,5.38,1.28,10.8,15.2
Dayton,34,8.71,1.09,68.6,61,24.5,52.5,0.467,6.62,19.6,0.338,13,18.6,0.699,9.44,36.1,15.2,4.79,4.38,12.1,13.8
Delaware,33,-5.57,-3.72,69.6,70.7,24.7,56.3,0.439,6.61,20.6,0.321,13.6,18.7,0.727,8.67,32.4,11.8,6.91,3.97,11.3,16.4
Delaware State,30,-17.7,-4.95,64.6,75.5,23.8,57.5,0.414,5.7,18.1,0.315,11.3,16.5,0.688,11.2,34.9,12.4,6.97,2.63,16,18.4
Denver,32,-9.56,-5.89,72.7,75.1,26.1,53.6,0.487,4.5,13.8,0.326,16,22.3,0.717,9.06,35.2,11.3,5.53,3.06,15,17
DePaul,33,2.9,9.03,71.2,77.3,25.4,59.4,0.427,8.27,22.5,0.368,12.1,16.4,0.739,9.24,32.4,13.8,6.39,4.73,12.9,18.3
Detroit Mercy,33,-3.21,-3.61,76.6,75.3,26.5,61.3,0.433,10.2,26.5,0.386,13.2,17.2,0.768,13.1,36.7,12.5,6.12,1.94,11.8,16
Drake NCAA,35,7.84,-1.14,74.8,63.9,27.2,58.1,0.469,7.94,21.5,0.37,12.4,16.2,0.767,7.94,35.7,13.7,5.34,2.63,10.5,14.9
Drexel,32,-2.27,-5.43,66.7,62.4,24.2,56.1,0.431,7.16,22.7,0.316,11.3,16.5,0.683,10.3,35,11.7,5.63,3.22,11.7,14.5
Duke NCAA,36,15.83,7.44,72,63.6,26,57.6,0.452,6.81,20.3,0.335,13.2,17.2,0.766,12,38.7,14.6,5.67,4.53,12,15.3
Duquesne,33,3.48,-0.16,74.9,71.3,27.2,62.2,0.437,9.15,25,0.366,11.4,16.4,0.694,12.4,35.7,15.3,8.06,3.76,12,18.6
East Carolina,33,-0.29,1.41,68.8,70.5,23.3,57.5,0.406,7.55,23.9,0.316,14.7,21.3,0.688,12.2,37.1,13.1,6.48,2.64,13.2,17.7
East Tennessee State,32,-6,-4.44,69.1,69,25.7,56.7,0.453,6.34,19.8,0.321,11.4,17.1,0.67,10.7,35.1,12.2,6.09,3.09,13.1,15.3
East Texas A&M,33,-11.09,-7.53,71.6,73.4,26,57.3,0.454,8.42,26.3,0.32,11.1,15.8,0.701,9.18,32.2,14.4,5.79,3.06,12.8,18.7
Eastern Illinois,31,-14.09,-6.75,68.8,72.1,25.7,58.1,0.443,5.23,15.9,0.329,12.2,19.1,0.637,9.29,33.9,14.5,8.39,3.39,13.5,18
Eastern Kentucky,37,-1.47,-1.62,78.6,73.5,29.7,67.2,0.441,8.59,25.1,0.343,10.7,16.2,0.659,13.6,40,14.9,8,4.76,12,15.8
Eastern Michigan,31,-11.05,-1.88,72.2,80.8,25.9,58.9,0.44,6.19,19.6,0.316,14.2,18.5,0.767,8.71,31.4,9.65,6.26,2.16,11.8,18.9
Eastern Washington,34,1.47,-1.62,76.7,71.4,27.4,55.9,0.49,8.82,24.6,0.358,13.1,17.3,0.756,8.97,35.9,15.4,5.18,3.15,13.6,17.4
Elon,32,-12.85,-4.38,65.4,71.6,23.8,56,0.425,6.81,22.6,0.302,11,15.5,0.708,8.78,33.7,12.2,6.13,2.16,12.3,16.1
Evansville,32,-15.14,-1.54,62.4,76,22.8,57.5,0.396,6.22,19.3,0.322,10.6,16.9,0.63,7.88,31.4,10.3,7,1.94,12.3,16.3
Fairfield,31,-6.98,-4.51,64.9,66,22.3,54.2,0.41,5.74,20,0.287,14.6,20.2,0.724,9.84,33.7,9.55,5.48,3.68,11.8,15.2
FDU NCAA,37,-8.98,-9.83,77.4,74.2,28.2,62.5,0.452,8.16,23.7,0.345,12.7,16.9,0.752,11.5,34.4,14.7,7.97,2,11.5,18.8
Florida,33,10.9,8.26,71.2,68.6,25.2,57.7,0.436,6.67,21.2,0.314,14.3,19.9,0.717,8.42,34.6,12.3,6.82,5.18,11.2,16.2
Florida A&M,29,-17.81,-4.99,58.6,70,20.5,53,0.387,5.76,18.4,0.313,11.8,17.1,0.692,10.2,32.9,9.66,6.59,3.62,16,19
Florida Atlantic NCAA,39,13.92,2.3,77.8,65.3,27.8,59.6,0.466,9.62,26.3,0.366,12.6,17.5,0.719,10.9,38.9,14.4,6.46,2.56,11.8,15.7
Florida Gulf Coast,32,-2.63,-3.08,71.3,69.4,25.2,57.6,0.437,9.22,26,0.355,11.7,15.8,0.74,9.41,34.6,12.8,6.84,3.25,11.4,15.5
Florida International,32,-2.71,0.32,73.1,75.1,27.1,58.2,0.466,6.84,21,0.326,12.1,16.9,0.713,8.59,31.5,12.4,9.06,4,14.8,17.1
Florida State,32,-0.38,6.5,69.3,76.2,25.1,57.5,0.436,6.53,19.8,0.33,12.7,17.5,0.726,8.69,31.4,13.4,6.16,3.91,12.1,16.2
Fordham,33,2.26,-2.14,72,67.6,24.2,57.6,0.419,7.64,24,0.318,16.1,21.7,0.741,10.8,36.9,12.7,7.21,4.85,13.5,19.6
Fresno State,31,2.6,5.1,63.7,65.7,23.2,54,0.43,6.77,22,0.308,10.5,13.5,0.771,8,30.3,12.3,6.32,3.32,11.6,16.1
Furman NCAA,36,4.89,-2.9,80.9,71.2,28.2,59.1,0.477,9.44,27.4,0.344,15,20.2,0.741,9.75,35.1,16.7,6.61,3.19,11,16.8
Gardner-Webb,31,-3.84,-4.64,70.7,65.5,26.2,56.2,0.467,6.32,18.8,0.336,11.9,19.1,0.625,10,35.4,12.9,7.16,4.71,13,19.2
George Mason,33,1.73,0.27,68.7,67.3,24.2,53.8,0.451,7.27,20.8,0.35,13,19.9,0.651,9.15,35.8,13.7,4.61,3.12,13.7,17.2
George Washington,32,-1.93,-0.61,76.3,76.7,27.2,57.8,0.47,7.13,22.2,0.321,14.8,20.1,0.738,8.88,34.9,12.7,5.69,3.41,12.6,16.4
Georgetown,32,-1.07,7.52,69.5,78.1,25.6,60.4,0.423,5.78,18.7,0.309,12.6,17.6,0.718,10.8,36,11.9,6.16,4.56,12.3,14.4
Georgia,32,1.8,4.8,68.5,71.5,22.8,55.4,0.41,6.72,21.2,0.317,16.3,22.4,0.727,10.8,35.8,11.2,6.31,2.66,13.2,16
Georgia Southern,33,-3.25,-2.02,68.4,66.7,25.5,58.4,0.436,6.27,20,0.314,11.2,16.3,0.686,9.85,35.3,10.4,7.03,2.85,11.5,16.7
Georgia State,31,-6.79,-0.93,66.7,69.4,24,57.7,0.416,5.29,17.9,0.295,13.4,18.7,0.713,11.1,34.5,11,5.77,3.58,12.9,17
Georgia Tech,33,2.08,4.89,69.7,70.8,25.9,61.2,0.423,7.85,23.4,0.335,10.1,14.5,0.696,10.6,35,14,5.97,4.06,10.6,15.9
Gonzaga NCAA,37,18.99,8.04,86.1,73.4,32.1,61.7,0.521,7.54,19.9,0.379,14.4,20.8,0.693,10.4,37.2,16.3,7.24,3.43,10.7,16.6
Grambling,33,-4.03,-8.48,69,62.2,24.6,54.1,0.454,5.27,14.8,0.356,14.5,22.6,0.644,11,36.2,12.3,7.33,4.12,14.4,18.9
Grand Canyon NCAA,36,4.43,1.27,75.2,67.3,25.9,56.1,0.462,8.97,23.4,0.383,14.4,20.1,0.716,10.1,36.6,12.6,4.92,3.19,11.9,18
Green Bay,32,-20.3,-3.14,59.3,76.5,20.5,52,0.394,6.81,22.6,0.301,11.5,16.4,0.702,7.34,28.3,10.9,5.06,2.38,14,16.9
Hampton,32,-15.25,-4.71,68.2,77.5,23.7,60.4,0.392,7.13,22.2,0.322,13.7,19.9,0.687,10.5,34.3,11,4.31,3.16,11.1,18.3
Hartford,28,-23.12,-7.96,62.8,71.1,23.5,55.1,0.427,7.36,22.1,0.332,8.32,12.9,0.644,9.11,31.6,13,6.39,3.75,14.4,14.1
Harvard,28,-0.71,-2.02,68.4,66.4,25,56.9,0.439,6.57,21.3,0.309,11.8,17.6,0.669,10.7,36.3,13.2,7.54,3.82,13.6,14.6
Hawaii,33,2.36,-2.17,66.9,61.8,23.4,54.5,0.429,6.67,20.2,0.33,13.5,18,0.747,9.7,35.3,11.1,4.58,3.79,12.2,16
High Point,31,-9.88,-5.23,74.6,77.2,26.2,59.2,0.443,7.55,23.2,0.325,14.6,23.3,0.626,11.7,38,12.4,6.55,4.9,14.1,18.5
Hofstra,35,4.96,-2.3,74.8,66.4,28.6,59.5,0.48,8.66,23.6,0.367,8.97,12.1,0.739,7.74,33.7,14.4,6.23,4.23,10.7,14.4
Holy Cross,32,-14.27,-6.4,66.8,72.6,25.4,58.2,0.436,6.84,18.7,0.366,9.16,14.7,0.622,7.97,32.5,12.4,6.34,2.78,12.1,16.1
Houston NCAA,37,22.2,4.79,74.9,57.5,27.3,59.5,0.458,7.68,22.6,0.34,12.6,17.2,0.733,12.8,38.9,14.7,7.92,4.92,10,16.7
Houston Christian,32,-17.18,-6.94,77.6,83.1,26.6,58.2,0.457,8.28,22.7,0.365,16.1,22.4,0.718,10.3,34.3,14.8,5.75,2.75,15.3,18
Howard NCAA,35,-5.04,-5.14,75.3,72.6,26.7,58.2,0.458,8.06,21.5,0.374,13.8,19.4,0.713,11.6,35.8,14.9,7.2,3.11,16.4,17.5
Idaho,32,-8.7,-3.86,73,72.9,25.8,54.6,0.472,6.78,19.9,0.34,14.7,19.3,0.762,6.94,30.6,11.9,5.13,1.78,11.3,16.8
Idaho State,32,-6.56,-2.96,69.2,71,24.8,55.8,0.445,7.66,22.7,0.338,11.9,16.2,0.735,8.09,31.4,12.3,5.78,2.81,11.6,17.6
Illinois NCAA,33,14.81,7.65,74.3,67.2,26.5,59,0.449,7.61,24.7,0.308,13.7,20.2,0.679,11.1,37.8,12.4,6.94,5.64,12.9,16.9
