,
School,Conf
,
Connecticut,Big East
Houston,Big 12
Purdue,Big Ten
Arizona,Pac-12
Auburn,SEC
Iowa State,Big 12
Tennessee,SEC
North Carolina,ACC
Alabama,SEC
Duke,ACC
Creighton,Big East
Illinois,Big Ten
Baylor,Big 12
Brigham Young,Big 12
Marquette,Big East
Gonzaga,WCC
Michigan State,Big Ten
Kentucky,SEC
St. John's (NY),Big East
Kansas,Big 12
Saint Mary's (CA),WCC
Clemson,ACC
Wisconsin,Big Ten
Colorado,Pac-12
Texas,Big 12
Florida,SEC
Cincinnati,Big 12
New Mexico,MWC
Utah,Pac-12
Texas Tech,Big 12
Wake Forest,ACC
Pittsburgh,ACC
San Diego State,MWC
Oklahoma,Big 12
TCU,Big 12
Villanova,Big East
Nebraska,Big Ten
Mississippi State,SEC
Washington State,Pac-12
Ohio State,Big Ten
Dayton,A-10
Indiana State,MVC
Colorado State,MWC
Texas A&M,SEC
Boise State,MWC
Florida Atlantic,AAC
Iowa,Big Ten
Nevada,MWC
NC State,ACC
Northwestern,Big Ten
Seton Hall,Big East
Providence,Big East
Xavier,Big East
Oregon,Pac-12
Butler,Big East
UCF,Big 12
Virginia Tech,ACC
Washington,Pac-12
Utah State,MWC
Drake,MVC
Kansas State,Big 12
South Carolina,SEC
Maryland,Big Ten
Grand Canyon,WAC
Virginia,ACC
Southern Methodist,AAC
San Francisco,WCC
Miami (FL),ACC
Florida State,ACC
Minnesota,Big Ten
Boston College,ACC
Bradley,MVC
Southern California,Pac-12
Penn State,Big Ten
Memphis,AAC
Virginia Commonwealth,A-10
Georgia,SEC
Syracuse,ACC
North Texas,AAC
Nevada-Las Vegas,MWC
Mississippi,SEC
James Madison,Sun Belt
Louisiana State,SEC
Indiana,Big Ten
Richmond,A-10
Massachusetts,A-10
UCLA,Pac-12
Rutgers,Big Ten
South Florida,AAC
Duquesne,A-10
Stanford,Pac-12
UC Irvine,Big West
St. Bonaventure,A-10
Saint Joseph's,A-10
Loyola (IL),A-10
Princeton,Ivy
McNeese State,Southland
George Mason,A-10
Samford,Southern
Oklahoma State,Big 12
Arkansas,SEC
Appalachian State,Sun Belt
Santa Clara,WCC
Michigan,Big Ten
UAB,AAC
California,Pac-12
Notre Dame,ACC
Louisiana Tech,CUSA
Yale,Ivy
Georgia Tech,ACC
Arizona State,Pac-12
Southern Illinois,MVC
Charlotte,AAC
College of Charleston,CAA
Seattle,WAC
Northern Iowa,MVC
West Virginia,Big 12
Tulane,AAC
Davidson,A-10
Cornell,Ivy
Oregon State,Pac-12
Missouri,SEC
Belmont,MVC
Vermont,AEC
Akron,MAC
UT Arlington,WAC
Hofstra,CAA
High Point,Big South
UC San Diego,Big West
Oakland,Horizon
Wichita State,AAC
Western Carolina,Southern
Toledo,MAC
Liberty,CUSA
Tarleton State,WAC
Troy,Sun Belt
UNC Wilmington,CAA
Western Kentucky,CUSA
Drexel,CAA
Missouri State,MVC
Youngstown State,Horizon
Georgetown,Big East
Wyoming,MWC
South Dakota State,Summit
Morehead State,OVC
Ohio,MAC
Louisville,ACC
Murray State,MVC
Arkansas State,Sun Belt
Furman,Southern
Towson,CAA
Vanderbilt,SEC
Loyola Marymount,WCC
Hawaii,Big West
Chattanooga,Southern
Wright State,Horizon
UNC Greensboro,Southern
Colgate,Patriot
Sam Houston,CUSA
Fordham,A-10
Weber State,Big Sky
Louisiana,Sun Belt
East Carolina,AAC
Purdue Fort Wayne,Horizon
Kent State,MAC
St. Thomas,Summit
Stephen F. Austin,WAC
Eastern Washington,Big Sky
George Washington,A-10
Long Beach State,Big West
Tulsa,AAC
Temple,AAC
Massachusetts-Lowell,AEC
UC Davis,Big West
Utah Valley,WAC
Illinois State,MVC
Montana,Big Sky
UTEP,CUSA
Saint Louis,A-10
Illinois-Chicago,MVC
La Salle,A-10
Delaware,CAA
UNC Asheville,Big South
Lipscomb,A-Sun
Winthrop,Big South
Longwood,Big South
Pepperdine,WCC
Rhode Island,A-10
California Baptist,WAC
Stony Brook,CAA
Bryant,AEC
Quinnipiac,MAAC
East Tennessee State,Southern
Fairfield,MAAC
Monmouth,CAA
UC Santa Barbara,Big West
Rice,AAC
Fresno State,MWC
Pennsylvania,Ivy
Little Rock,OVC
Cleveland State,Horizon
Jacksonville State,CUSA
Brown,Ivy
Northern Kentucky,Horizon
Evansville,MVC
Texas State,Sun Belt
San Jose State,MWC
Wofford,Southern
Abilene Christian,WAC
UC Riverside,Big West
Northern Colorado,Big Sky
Texas A&M-Corpus Christi,Southland
Harvard,Ivy
Saint Peter's,MAAC
Georgia State,Sun Belt
Mercer,Southern
Gardner-Webb,Big South
Air Force,MWC
Cal State Northridge,Big West
Bowling Green State,MAC
Milwaukee,Horizon
Stetson,A-Sun
Cal State Fullerton,Big West
Iona,MAAC
Merrimack,NEC
UTSA,AAC
San Diego,WCC
Kansas City,Summit
Montana State,Big Sky
Cal State Bakersfield,Big West
Eastern Kentucky,A-Sun
Marshall,Sun Belt
Columbia,Ivy
Lamar,Southland
Tennessee-Martin,OVC
Green Bay,Horizon
Marist,MAAC
Radford,Big South
Southern Utah,WAC
Rider,MAAC
Norfolk State,MEAC
South Alabama,Sun Belt
Southern Mississippi,Sun Belt
Northeastern,CAA
Austin Peay,A-Sun
New Hampshire,AEC
DePaul,Big East
North Dakota,Summit
Florida Gulf Coast,A-Sun
Maine,AEC
Miami (OH),MAC
The Citadel,Southern
Mount St. Mary's,MAAC
Albany (NY),AEC
Ball State,MAC
North Florida,A-Sun
Nicholls State,Southland
Portland State,Big Sky
North Alabama,A-Sun
Omaha,Summit
Denver,Summit
Oral Roberts,Summit
Middle Tennessee,CUSA
Lehigh,Patriot
Idaho State,Big Sky
North Dakota State,Summit
North Carolina Central,MEAC
Canisius,MAAC
Florida International,CUSA
Kennesaw State,A-Sun
Central Michigan,MAC
Utah Tech,WAC
Presbyterian,Big South
Central Connecticut State,NEC
Portland,WCC
Valparaiso,MVC
Bucknell,Patriot
Old Dominion,Sun Belt
Niagara,MAAC
Georgia Southern,Sun Belt
New Mexico State,CUSA
Maryland-Baltimore County,AEC
Howard,MEAC
Southern,SWAC
Queens (NC),A-Sun
Western Illinois,OVC
American,Patriot
SIU Edwardsville,OVC
Texas Southern,SWAC
Northern Illinois,MAC
Binghamton,AEC
Western Michigan,MAC
Chicago State,Ind
South Carolina Upstate,Big South
Robert Morris,Horizon
Grambling,SWAC
Tennessee State,OVC
Jacksonville,A-Sun
Sacred Heart,NEC
Boston University,Patriot
Louisiana-Monroe,Sun Belt
Coastal Carolina,Sun Belt
Delaware State,MEAC
Campbell,CAA
Wagner,NEC
Sacramento State,Big Sky
Le Moyne,NEC
Lafayette,Patriot
Idaho,Big Sky
Southeastern Louisiana,Southland
William & Mary,CAA
Elon,CAA
Jackson State,SWAC
Alcorn State,SWAC
Eastern Illinois,OVC
Navy,Patriot
Alabama State,SWAC
Bellarmine,A-Sun
South Carolina State,MEAC
Bethune-Cookman,SWAC
Charleston Southern,Big South
Northern Arizona,Big Sky
South Dakota,Summit
Eastern Michigan,MAC
Texas-Rio Grande Valley,WAC
Southern Indiana,OVC
Cal Poly,Big West
Dartmouth,Ivy
Alabama A&M,SWAC
FDU,NEC
Northwestern State,Southland
East Texas A&M,Southland
NJIT,AEC
Army,Patriot
Tennessee Tech,OVC
Buffalo,MAC
Manhattan,MAAC
Prairie View,SWAC
Arkansas-Pine Bluff,SWAC
Central Arkansas,A-Sun
Florida A&M,SWAC
Hampton,CAA
Morgan State,MEAC
Loyola (MD),Patriot
North Carolina A&T,CAA
Incarnate Word,Southland
New Orleans,Southland
Detroit Mercy,Horizon
Holy Cross,Patriot
Maryland-Eastern Shore,MEAC
Pacific,WCC
Long Island University,NEC
Southeast Missouri State,OVC
Saint Francis (PA),NEC
Lindenwood,OVC
Siena,MAAC
Houston Christian,Southland
Stonehill,NEC
VMI,Southern
IU Indy,Horizon
Coppin State,MEAC
Mississippi Valley State,SWAC
