,PtsT1,PtsT2,YdsT1,TOT1,YdsT2T2,TOT2,PF,Ply,Y/P,DPA,DPly,DY/P,T2PF,T2Ply,T2Y/P,T2DPA,T2DPly,T2DY/P,PPP,PPPA,PPPD,T2PPP,T2PPPA,T2PPPD
PtsT1,1.0,0.4132987314237387,0.5603361199469208,-0.08590499686090824,0.22591674884457855,0.13885907521268598,0.38531648090763565,0.01750539836099443,0.31980999885671674,-0.03167703132582331,-0.07135517644453762,0.01866970112778001,0.09999797982640929,0.013697303092369958,0.08290798584543618,0.21549009651601414,-0.018139843445269976,0.1762081027996686,0.38374451003212423,-0.009933885267289293,0.2998128787096624,0.09984504564331505,0.22878965401702664,-0.054675601334319306
PtsT2,0.4132987314237387,1.0,0.37943424269202736,0.12676685768265797,0.6578570807782188,-0.14270766032854826,0.10345012093392371,-0.019986089165912144,0.1389734822783889,0.24613196880819466,0.06477164434737136,0.19980058325283181,0.25871439437279414,0.05409595411873883,0.2522309873733323,0.021845809232869218,-0.08223255971830072,0.0980780405769644,0.11077724209427714,0.2409811822297284,-0.03988332737399634,0.2549520305047252,0.04751538935180113,0.15752528881982586
YdsT1,0.5603361199469208,0.37943424269202736,1.0,0.11892613193286912,0.11738213958826961,-0.22023328393631594,0.32319427094107667,0.07949458675177752,0.3509198490253003,0.010582957654966293,-0.06071634022155874,0.019052984741317763,0.08305398850231709,-0.07091372343997389,0.09872921895207852,0.1931406043382425,0.09269791454642348,0.3057174246266275,0.3058427961701157,0.03153343952177523,0.21849508343620272,0.10337908867890028,0.1736021725460565,-0.021573084032858233
TOT1,-0.08590499686090824,0.12676685768265797,0.11892613193286912,1.0,-0.058900875967591325,-0.013247347230952791,-0.014137839625271494,0.08526207582792851,-0.016329032275067736,0.012701915716440752,0.006597114948146766,-0.04512469172280568,-0.009337719481350384,-0.012080040058379015,-0.03537145899765557,-0.0011538896807069432,0.038737433930452335,0.021358437343254287,-0.03775083589249162,0.009705071068542168,-0.0340193037811008,-0.008253296986322578,-0.012776611504021856,0.0011227145127514692
YdsT2T2,0.22591674884457855,0.6578570807782188,0.11738213958826961,-0.058900875967591325,1.0,0.0467437951596964,0.048148324804363915,-0.10175332279586137,0.10008929126736239,0.22807757803824252,0.1305482337129412,0.2976176297584057,0.26400880126788556,0.12649274448019476,0.2751042479155807,-0.03094190391619315,-0.1325810025809499,0.057111904177023456,0.07588801593676517,0.2000574661035345,-0.0454551124287853,0.240574214581804,0.006724460229264585,0.16974195389840782
TOT2,0.13885907521268598,-0.14270766032854826,-0.22023328393631594,-0.013247347230952791,0.0467437951596964,1.0,0.002589617102423873,0.033471243360747145,-0.0635979569298196,-0.06413034447018574,-0.04076550468471438,-0.0170022586143368,0.03301936352773897,0.052993397338411075,-0.005515189974965563,-0.060806160880319295,-0.051864195131324044,-0.11706998272363885,-0.00998242365824302,-0.05499520921494498,0.020849009152156924,0.019417969175051356,-0.05009601972740656,0.04173668271123632
PF,0.38531648090763565,0.10345012093392371,0.32319427094107667,-0.014137839625271494,0.048148324804363915,0.002589617102423873,1.0,0.18643449268135906,0.8340664811773362,-0.23593678678558513,-0.1784840777985785,-0.082172343454335,0.07862161568946274,-0.05406719682769462,0.09427507520861546,0.07231339316950602,-0.07072559103629598,0.09715806215247824,0.9614538910663728,-0.1922551828957027,0.8379438196167096,0.09644152362028639,0.0970341901759205,0.015816151227224195
Ply,0.01750539836099443,-0.019986089165912144,0.07949458675177752,0.08526207582792851,-0.10175332279586137,0.033471243360747145,0.18643449268135906,1.0,-0.11175982502595841,-0.05135044684046142,-0.026733215455038033,-0.14737617346110318,-0.01615822379369216,0.12647411687139132,-0.07836913922849548,-0.1055847370278464,0.1848503611964471,-0.13492454375925006,-0.08702945623199315,-0.047566932298447814,-0.04216381833589073,-0.053957854515230705,-0.16584903328238013,0.0529155436335752
Y/P,0.31980999885671674,0.1389734822783889,0.3509198490253003,-0.016329032275067736,0.10008929126736239,-0.0635979569298196,0.8340664811773362,-0.11175982502595841,1.0,-0.11927906802614399,-0.11323489693824682,0.007136411181761843,0.08898993853503881,-0.07373669088763884,0.12113226841683558,0.06323317615969246,-0.10743365201495665,0.12554257337935398,0.8771442242080255,-0.08814189891646532,0.7192247002123351,0.11293936670318763,0.09891215440269734,0.02667211769395584
DPA,-0.03167703132582331,0.24613196880819466,0.010582957654966293,0.012701915716440752,0.22807757803824252,-0.06413034447018574,-0.23593678678558513,-0.05135044684046142,-0.11927906802614399,1.0,0.3510401875884665,0.683322066948364,-0.022496491495311497,-0.04782338290161685,0.010843778518439692,0.07712859516063619,-0.05259813987376403,0.07323112622522918,-0.22519061848422006,0.9502977179465266,-0.6656289027293817,-0.011490658997326077,0.0966907196964247,-0.06181768784813491
DPly,-0.07135517644453762,0.06477164434737136,-0.06071634022155874,0.006597114948146766,0.1305482337129412,-0.04076550468471438,-0.1784840777985785,-0.026733215455038033,-0.11323489693824682,0.3510401875884665,1.0,0.10910555900282055,-0.06364694691313148,0.20759335729633874,-0.12705956168039512,-0.08037504391744701,0.13986480777678456,-0.13159504218738524,-0.18558210637621014,0.04418566196258587,-0.16541074840417208,-0.12380023116695388,-0.12664886031629818,-0.019146985645784355
DY/P,0.01866970112778001,0.19980058325283181,0.019052984741317763,-0.04512469172280568,0.2976176297584057,-0.0170022586143368,-0.082172343454335,-0.14737617346110318,0.007136411181761843,0.683322066948364,0.10910555900282055,1.0,-0.004123013365868952,-0.07722101291369184,0.06900827374288565,0.10155105951440196,-0.09319156097684303,0.10884719964181166,-0.042654401535003675,0.6935054550425103,-0.39232391506140435,0.01678183268136095,0.1350227602546856,-0.06265430828570029
T2PF,0.09999797982640929,0.25871439437279414,0.08305398850231709,-0.009337719481350384,0.26400880126788556,0.03301936352773897,0.07862161568946274,-0.01615822379369216,0.08898993853503881,-0.022496491495311497,-0.06364694691313148,-0.004123013365868952,1.0,0.26157086232835214,0.83397686279934,-0.28627547474688464,-0.1852236728887283,-0.009927322574712412,0.0857780412871678,-0.001767908887885334,0.0667822172081571,0.9644420151736983,-0.24595945159917834,0.831580838403163
T2Ply,0.013697303092369958,0.05409595411873883,-0.07091372343997389,-0.012080040058379015,0.12649274448019476,0.052993397338411075,-0.05406719682769462,0.12647411687139132,-0.07373669088763884,-0.04782338290161685,0.20759335729633874,-0.07722101291369184,0.26157086232835214,1.0,-0.07183903440979408,-0.17101960036469013,-0.16326797193336004,-0.25088937692048274,-0.09613020890357361,-0.12141262227045405,-0.010864141609798466,0.0012400053520469948,-0.13270043275833904,0.07436312443349012
T2Y/P,0.08290798584543618,0.2522309873733323,0.09872921895207852,-0.03537145899765557,0.2751042479155807,-0.005515189974965563,0.09427507520861546,-0.07836913922849548,0.12113226841683558,0.010843778518439692,-0.12705956168039512,0.06900827374288565,0.83397686279934,-0.07183903440979408,1.0,-0.13539026354051206,-0.10636087700710577,0.12483997151061314,0.12212228054225947,0.05578554398134207,0.06484900210539428,0.8863455873395123,-0.10923379389305392,0.6995721982604569
T2DPA,0.21549009651601414,0.021845809232869218,0.1931406043382425,-0.0011538896807069432,-0.03094190391619315,-0.060806160880319295,0.07231339316950602,-0.1055847370278464,0.06323317615969246,0.07712859516063619,-0.08037504391744701,0.10155105951440196,-0.28627547474688464,-0.17101960036469013,-0.13539026354051206,1.0,0.2908452181984155,0.700376971378733,0.10432711833703442,0.1100404453916995,0.023054514468392732,-0.25074215938168415,0.9584097615926946,-0.7114159176539345
T2DPly,-0.018139843445269976,-0.08223255971830072,0.09269791454642348,0.038737433930452335,-0.1325810025809499,-0.051864195131324044,-0.07072559103629598,0.1848503611964471,-0.10743365201495665,-0.05259813987376403,0.13986480777678456,-0.09319156097684303,-0.1852236728887283,-0.16326797193336004,-0.10636087700710577,0.2908452181984155,1.0,0.09224947818369865,-0.1273151936727956,-0.10485790299758535,-0.04339321744483826,-0.15328967201089627,0.007871621323442142,-0.11488689685127805
T2DY/P,0.1762081027996686,0.0980780405769644,0.3057174246266275,0.021358437343254287,0.057111904177023456,-0.11706998272363885,0.09715806215247824,-0.13492454375925006,0.12554257337935398,0.07323112622522918,-0.13159504218738524,0.10884719964181166,-0.009927322574712412,-0.25088937692048274,0.12483997151061314,0.700376971378733,0.09224947818369865,1.0,0.14061817461381837,0.1241239810278432,0.04361890595637167,0.055931774178813086,0.7051484434365238,-0.35007305882207057
PPP,0.38374451003212423,0.11077724209427714,0.3058427961701157,-0.03775083589249162,0.07588801593676517,-0.00998242365824302,0.9614538910663728,-0.08702945623199315,0.8771442242080255,-0.22519061848422006,-0.18558210637621014,-0.042654401535003675,0.0857780412871678,-0.09613020890357361,0.12212228054225947,0.10432711833703442,-0.1273151936727956,0.14061817461381837,1.0,-0.17778994536805995,0.8600418711644726,0.11616684673540485,0.14760742691741685,0.0020393488507045856
PPPA,-0.009933885267289293,0.2409811822297284,0.03153343952177523,0.009705071068542168,0.2000574661035345,-0.05499520921494498,-0.1922551828957027,-0.047566932298447814,-0.08814189891646532,0.9502977179465266,0.04418566196258587,0.6935054550425103,-0.001767908887885334,-0.12141262227045405,0.05578554398134207,0.1100404453916995,-0.10485790299758535,0.1241239810278432,-0.17778994536805995,1.0,-0.6550016128632656,0.03040360055378503,0.14706520390129416,-0.059499642868721586
PPPD,0.2998128787096624,-0.03988332737399634,0.21849508343620272,-0.0340193037811008,-0.0454551124287853,0.020849009152156924,0.8379438196167096,-0.04216381833589073,0.7192247002123351,-0.6656289027293817,-0.16541074840417208,-0.39232391506140435,0.0667822172081571,-0.010864141609798466,0.06484900210539428,0.023054514468392732,-0.04339321744483826,0.04361890595637167,0.8600418711644726,-0.6550016128632656,1.0,0.07343618269090639,0.03709102778037804,0.03241553103252417
T2PPP,0.09984504564331505,0.2549520305047252,0.10337908867890028,-0.008253296986322578,0.240574214581804,0.019417969175051356,0.09644152362028639,-0.053957854515230705,0.11293936670318763,-0.011490658997326077,-0.12380023116695388,0.01678183268136095,0.9644420151736983,0.0012400053520469948,0.8863455873395123,-0.25074215938168415,-0.15328967201089627,0.055931774178813086,0.11616684673540485,0.03040360055378503,0.07343618269090639,1.0,-0.2173953190148362,0.8414053493052909
T2PPPA,0.22878965401702664,0.04751538935180113,0.1736021725460565,-0.012776611504021856,0.006724460229264585,-0.05009601972740656,0.0970341901759205,-0.16584903328238013,0.09891215440269734,0.0966907196964247,-0.12664886031629818,0.1350227602546856,-0.24595945159917834,-0.13270043275833904,-0.10923379389305392,0.9584097615926946,0.007871621323442142,0.7051484434365238,0.14760742691741685,0.14706520390129416,0.03709102778037804,-0.2173953190148362,1.0,-0.7103975897257324
T2PPPD,-0.054675601334319306,0.15752528881982586,-0.021573084032858233,0.0011227145127514692,0.16974195389840782,0.04173668271123632,0.015816151227224195,0.0529155436335752,0.02667211769395584,-0.06181768784813491,-0.019146985645784355,-0.06265430828570029,0.831580838403163,0.07436312443349012,0.6995721982604569,-0.7114159176539345,-0.11488689685127805,-0.35007305882207057,0.0020393488507045856,-0.059499642868721586,0.03241553103252417,0.8414053493052909,-0.7103975897257324,1.0
